City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Waingapu,ID,79.7,broken clouds,-9.66,120.26,Pondok Wisata Elim
215,Lorengau,PG,82.62,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
219,Marawi,PH,75.99,moderate rain,8.0,124.29,Derogongan Residence
223,Ambilobe,MG,73.33,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
224,Xaltianguis,MX,85.5,scattered clouds,17.07,-99.83,
225,Bilma,NE,74.82,clear sky,18.69,12.92,Expeditions Ténére voyages
228,Suriapet,IN,72.57,clear sky,17.15,79.62,OYO 45679 Hotel Tirumala Grand
233,Bhadra,IN,70.23,clear sky,29.12,75.17,Hotel Ganpati
234,Ugoofaaru,MV,82.6,few clouds,5.67,73.0,Ungoofaaru Inn
235,Boa Vista,BR,82.4,shower rain,2.82,-60.67,Aipana Plaza Hotel
236,Bathsheba,BB,86.0,shower rain,13.22,-59.52,Atlantis Hotel
237,Ondjiva,AO,85.12,light rain,-17.07,15.73,SOS Motel
238,Nangka,PH,77.18,light rain,9.4,122.82,HOTEL MAEFINN
241,Muncar,ID,75.87,broken clouds,-8.43,114.33,Zaky Homestay
242,Ancud,CL,71.01,clear sky,-41.87,-73.82,Hotel Arena Gruesa
244,Cockburn Town,TC,86.0,broken clouds,21.46,-71.14,Osprey Beach Hotel
246,Port Blair,IN,80.58,broken clouds,11.67,92.75,Fortune Resort Bay Island
248,Tarakan,ID,76.77,overcast clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
250,Chaiya,TH,78.3,overcast clouds,9.39,99.2,JP Place
253,Musoma,TZ,75.43,broken clouds,-1.5,33.8,New Peninsula Hotel
255,Uarini,BR,84.2,scattered clouds,-2.99,-65.11,
260,Barra Do Garcas,BR,87.8,scattered clouds,-15.89,-52.26,Hotel Pousada Tropical
263,Bokoro,TD,88.38,clear sky,12.38,17.06,
264,The Valley,AI,87.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
266,Guerrero Negro,MX,79.45,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
268,Conde,BR,86.0,scattered clouds,-7.26,-34.91,Pousada Beija Flor
276,Patiya,BD,71.91,light rain,22.29,91.98,"Alam Building, Noaa Pokor Par, Patiya"
280,Wilmington,US,78.8,broken clouds,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
281,Kaseda,JP,70.68,overcast clouds,31.42,130.32,Sun Stay Kaseda
282,Hobyo,SO,81.34,clear sky,5.35,48.53,Osmani Hotel
290,Fomboni,KM,78.33,overcast clouds,-12.28,43.74,Auberge les abou
291,Salalah,OM,80.6,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
293,Bhag,PK,71.51,clear sky,29.04,67.82,Bukhari hotl
294,Moranbah,AU,71.56,scattered clouds,-22.0,148.05,Direct Hotels - Monterey Moranbah
301,Lusambo,CD,71.38,light rain,-4.97,23.45,
304,Kimbe,PG,76.51,broken clouds,-5.55,150.14,Kimbe Bay Hotel
305,Necochea,AR,70.97,scattered clouds,-38.55,-58.74,dyd -mar Hotel
